iter	MultiClass
0	1.838414922
1	1.764513739
2	1.695034819
3	1.617154902
4	1.547954239
5	1.486853018
6	1.432142318
7	1.370899385
8	1.320539092
9	1.27351676
10	1.228460301
11	1.187511121
12	1.14695154
13	1.108841939
14	1.074241213
15	1.030881048
16	0.9997778442
17	0.9702472757
18	0.939763687
19	0.9142445583
20	0.8843144735
21	0.8531766661
22	0.8239698853
23	0.8018760832
24	0.7784421142
25	0.7597567715
26	0.7427636157
27	0.7257663464
28	0.7056167071
29	0.6879620284
30	0.6730375078
31	0.6583110948
32	0.6424604919
33	0.6272415494
34	0.6135677507
35	0.603203004
36	0.5909942964
37	0.5806179452
38	0.5703701383
39	0.5565699696
40	0.5456772113
41	0.5341290808
42	0.5277725312
43	0.517687563
44	0.509539957
45	0.5033118944
46	0.4953470149
47	0.4883238106
48	0.4795703208
49	0.4706388838
50	0.4613236213
51	0.4552582476
52	0.4491980626
53	0.4413294436
54	0.4322003126
55	0.4254764892
56	0.4195635259
57	0.412594578
58	0.4049619106
59	0.3991769338
60	0.392831569
61	0.3849748866
62	0.3799863626
63	0.3727978263
64	0.3672122372
65	0.3613108941
66	0.3555066243
67	0.3514545856
68	0.3471196859
69	0.3421242208
70	0.3382198937
71	0.3340249504
72	0.3282172086
73	0.3241619083
74	0.3205424139
75	0.3168823866
76	0.3129687309
77	0.3096317615
78	0.3054894656
79	0.3018540211
80	0.2978260371
81	0.2937148105
82	0.2898375924
83	0.2862831801
84	0.2833181233
85	0.2793263324
86	0.2762669558
87	0.2735342018
88	0.2711105392
89	0.2686764756
90	0.2656750671
91	0.2624564689
92	0.2595072789
93	0.2574013976
94	0.2546890794
95	0.2507198513
96	0.248277887
97	0.2457496416
98	0.2422758598
99	0.238083234
100	0.235786132
101	0.233673837
102	0.2310683533
103	0.2285012671
104	0.2278339369
105	0.2255445475
106	0.2229829237
107	0.2216344921
108	0.2191171762
109	0.2168635934
110	0.2154207652
111	0.213203854
112	0.210782892
113	0.2082479854
114	0.206309631
115	0.2043115394
116	0.2029375963
117	0.2013870005
118	0.1999141744
119	0.1990350398
120	0.1984340481
121	0.1958596756
122	0.1938132986
123	0.1925838376
124	0.1912215225
125	0.1896535985
126	0.1885249422
127	0.1870890833
128	0.1859478919
129	0.1837905005
130	0.1821017216
131	0.1814289089
132	0.1797785776
133	0.1779347662
134	0.177486101
135	0.1757278434
136	0.1738179331
137	0.1727662642
138	0.1716277621
139	0.1712124387
140	0.1699406254
141	0.1690727086
142	0.1673592954
143	0.1663289828
144	0.1645105535
145	0.163560302
146	0.1619259416
147	0.1610677485
148	0.1597490691
149	0.1578919107
150	0.1566577545
151	0.1562232442
152	0.1547638666
153	0.1539637409
154	0.152886327
155	0.1515221745
156	0.1504046727
157	0.1490347771
158	0.1475727077
159	0.1462838221
160	0.1452271608
161	0.1446665485
162	0.1435977387
163	0.1427022537
164	0.1414017381
165	0.1402293495
166	0.1393364138
167	0.1383724676
168	0.1379692079
169	0.1369239949
170	0.1357704005
171	0.1349281941
172	0.1340704431
173	0.1337536732
174	0.1329485556
175	0.1324564911
176	0.1314415881
177	0.1307119015
178	0.1303368442
179	0.1297317958
180	0.1286822687
181	0.1282398516
182	0.1276368022
183	0.1264476639
184	0.1257523151
185	0.1250929866
186	0.1241497691
187	0.1235915581
188	0.1232317517
189	0.1229536181
190	0.1225333696
191	0.1217504927
192	0.1209381975
193	0.1201466363
194	0.1196427188
195	0.1187897517
196	0.1182316272
197	0.1177748727
198	0.1172534635
199	0.1163286199
200	0.1161117862
201	0.1152740265
202	0.1147753738
203	0.1138857179
204	0.1131803127
205	0.1127164934
206	0.111926801
207	0.1111627434
208	0.1103783021
209	0.1097811629
210	0.1092829646
211	0.1087774205
212	0.1084534694
213	0.1075837068
214	0.1068055274
215	0.1061777983
216	0.1057509427
217	0.1050098974
218	0.104415363
219	0.104119489
220	0.1034297356
221	0.102916362
222	0.102450262
223	0.1020742538
224	0.1014883458
225	0.1008971133
226	0.1006281797
227	0.1000631508
228	0.09992466911
229	0.09967826575
230	0.09935453177
231	0.09876688881
232	0.09812080067
233	0.09769762222
234	0.0971435891
235	0.09667489799
236	0.09597648848
237	0.0955304289
238	0.09497316415
239	0.09450227896
240	0.09393599366
241	0.0937138343
242	0.09290761266
243	0.09280331752
244	0.09256710037
245	0.09206659647
246	0.09143126084
247	0.09128066922
248	0.09091523811
249	0.09078734653
250	0.09041455831
251	0.09004213649
252	0.08990040927
253	0.08951949752
254	0.08892202983
255	0.08829659434
256	0.08770718796
257	0.08715354824
258	0.08706360525
259	0.08657246435
260	0.08602684643
261	0.08590603935
262	0.0854986154
263	0.0853537474
264	0.08494003785
265	0.08452788561
266	0.08412161139
267	0.08391708058
268	0.08361006882
269	0.08336612015
270	0.08311282226
271	0.08270628449
272	0.08256278625
273	0.08217972632
274	0.08205548443
275	0.08166580059
276	0.08153008933
277	0.08113246652
278	0.08080129814
279	0.08056960774
280	0.08015074594
281	0.07966141691
282	0.07923801167
283	0.07890213252
284	0.0784762052
285	0.0780675629
286	0.07758610483
287	0.07729419023
288	0.07720598663
289	0.07687801428
290	0.07657977858
291	0.07641317574
292	0.07591949172
293	0.07579815474
294	0.07537599105
295	0.0749751823
296	0.07466627582
297	0.07423290529
298	0.07386604738
299	0.07351946105
300	0.07307512109
301	0.07297386609
302	0.0727070124
303	0.07251287475
304	0.07235097194
305	0.07206294771
306	0.07177879557
307	0.07147632462
308	0.07117925779
309	0.07086463359
310	0.07062579942
311	0.07048806814
312	0.0701484294
313	0.06989103457
314	0.06955428079
315	0.06939914641
316	0.06913949085
317	0.06883690953
318	0.06860271644
319	0.06848005205
320	0.06840625141
321	0.06819587806
322	0.0679143084
323	0.06756560785
324	0.06734479618
325	0.06700587328
326	0.06668505302
327	0.06640614905
328	0.06609128556
329	0.06589966685
330	0.06563854673
331	0.06545481503
332	0.06535865306
333	0.06513857155
334	0.06501446645
335	0.06486245195
336	0.06465324983
337	0.06429607612
338	0.06407327591
339	0.06385878961
340	0.06377554403
341	0.06356034377
342	0.06339781944
343	0.06329993708
344	0.06326422991
345	0.06318691414
346	0.06294602527
347	0.06266334986
348	0.06248015181
349	0.06224770287
350	0.0621306842
351	0.06181211163
352	0.06153401287
353	0.06140278691
354	0.06127958882
355	0.06107303044
356	0.06085547662
357	0.06058389205
358	0.06038646238
359	0.06017112057
360	0.06001668544
361	0.05976470798
362	0.05960103207
363	0.05936617693
364	0.05909834095
365	0.05895115007
366	0.05873818709
367	0.05851708558
368	0.05847095281
369	0.05843301256
370	0.05834320729
371	0.05820632292
372	0.05794038014
373	0.05774563955
374	0.05750416074
375	0.05730761026
376	0.05716013508
377	0.05685458873
378	0.05668589611
379	0.05651498532
380	0.05637355501
381	0.05619008716
382	0.05602353048
383	0.05580909403
384	0.05566982217
385	0.05554156644
386	0.05535906782
387	0.05516371625
388	0.05488632833
389	0.05469667194
390	0.05445899402
391	0.05432651635
392	0.05417290093
393	0.05405075655
394	0.05401888969
395	0.05380978567
396	0.05364154764
397	0.05346010715
398	0.05326310389
399	0.05311674753
400	0.05295082439
401	0.05279725393
402	0.05276215989
403	0.05258620571
404	0.05239464641
405	0.05236441553
406	0.05231872435
407	0.05212378084
408	0.0519486081
409	0.05186623724
410	0.05172134894
411	0.05161446672
412	0.05144255936
413	0.05125268772
414	0.05119718279
415	0.05104902627
416	0.05095806987
417	0.05074893285
418	0.05063567799
419	0.05056457732
420	0.05037355515
421	0.05010477827
422	0.05001396288
423	0.04986197706
424	0.04969338128
425	0.0494976009
426	0.04938949754
427	0.04924356867
428	0.04908973579
429	0.04893333924
430	0.04878424507
431	0.0486975002
432	0.04850776006
433	0.04833904443
434	0.04811184503
435	0.04785746633
436	0.04770031631
437	0.04756313233
438	0.04745531688
439	0.04731046518
440	0.04708785428
441	0.04696277703
442	0.04679981647
443	0.0466916295
444	0.04648884517
445	0.04647136004
446	0.04631900377
447	0.04619757051
448	0.04611818556
449	0.0459967397
450	0.04590086406
451	0.04583549123
452	0.04564342994
453	0.04555507938
454	0.0455160693
455	0.04542077751
456	0.04537383662
457	0.04534847617
458	0.04517212566
459	0.04505347812
460	0.04491653635
461	0.04487483002
462	0.04482181989
463	0.04470659769
464	0.04457082871
465	0.04439381537
466	0.0442754596
467	0.0440914552
468	0.04394871687
469	0.04382025659
470	0.04371032774
471	0.04361691221
472	0.04350935544
473	0.04332522491
474	0.04319576932
475	0.04307575156
476	0.04304818129
477	0.04292466746
478	0.04281771647
479	0.04266635368
480	0.04264365807
481	0.04256161919
482	0.04243024872
483	0.04229326173
484	0.04219681616
485	0.04205714951
486	0.04192377064
487	0.04178954783
488	0.04168098236
489	0.04161441683
490	0.04156590559
491	0.04152313995
492	0.04141108505
493	0.04131883349
494	0.04121848049
495	0.041174663
496	0.04103956559
497	0.04095389541
498	0.04088123589
499	0.04077949342
500	0.04072066905
501	0.04056891784
502	0.04045044994
503	0.04030168671
504	0.04019973768
505	0.04009018092
506	0.04002556214
507	0.03998891744
508	0.03990581975
509	0.03987145791
510	0.03973937594
511	0.03964505331
512	0.03951908065
513	0.03943793791
514	0.03933144409
515	0.03925548809
516	0.03921317267
517	0.0391119744
518	0.03898233699
519	0.03888818789
520	0.03881274764
521	0.03872009259
522	0.03862109416
523	0.03855498099
524	0.03852034209
525	0.0384360353
526	0.03834850184
527	0.03822438731
528	0.03817715548
529	0.03809977314
530	0.03802412964
531	0.03795144699
532	0.03785414067
533	0.03776485751
534	0.03770041928
535	0.03761537425
536	0.0375620761
537	0.03745256497
538	0.03737527471
539	0.03729034945
540	0.03717914433
541	0.03703354783
542	0.03692023916
543	0.03685453267
544	0.03672694381
545	0.03667365397
546	0.03660305892
547	0.03656473281
548	0.03646057244
549	0.0363677807
550	0.03628038284
551	0.03620771409
552	0.03611503366
553	0.03601213781
554	0.03594277483
555	0.03586194969
556	0.03577562564
557	0.03564050893
558	0.0355590248
559	0.03552493209
560	0.03545558405
561	0.03535312824
562	0.03530091104
563	0.03525956483
564	0.03519168485
565	0.03512726733
566	0.03505238857
567	0.03495773301
568	0.03487140979
569	0.03482246422
570	0.03477769814
571	0.03471951676
572	0.03469388003
573	0.03459845071
574	0.03456300768
575	0.03447037908
576	0.0343923811
577	0.03429429876
578	0.03423294205
579	0.03416735815
580	0.03408226164
581	0.03400066602
582	0.0339687582
583	0.0339175659
584	0.03387836789
585	0.03382296991
586	0.03376761874
587	0.0337473754
588	0.03370100234
589	0.03366253712
590	0.03358763393
591	0.03353719286
592	0.03350358063
593	0.03344074562
594	0.03341769837
595	0.03339437256
596	0.03332530674
597	0.03323600203
