iter	Passed	Remaining
0	55	55533
1	59	29585
2	65	21866
3	69	17182
4	71	14311
5	74	12422
6	78	11181
7	82	10224
8	85	9414
9	88	8794
10	91	8255
11	105	8675
12	108	8224
13	112	7894
14	115	7559
15	118	7293
16	121	7044
17	124	6817
18	128	6631
19	131	6443
20	134	6277
21	137	6126
22	140	5986
23	144	5870
24	147	5756
25	150	5647
26	153	5547
27	157	5450
28	160	5370
29	163	5288
30	166	5207
31	169	5130
32	172	5063
33	176	5007
34	179	4949
35	182	4885
36	185	4826
37	188	4782
38	192	4740
39	195	4693
40	198	4646
41	201	4602
42	205	4569
43	209	4547
44	212	4508
45	215	4472
46	218	4438
47	223	4425
48	226	4395
49	229	4362
50	232	4331
51	236	4303
52	239	4287
53	243	4258
54	246	4231
55	249	4207
56	253	4190
57	256	4170
58	260	4147
59	263	4124
60	266	4103
61	270	4096
62	274	4077
63	277	4055
64	280	4036
65	284	4032
66	288	4023
67	292	4006
68	295	3987
69	299	3975
70	303	3967
71	306	3951
72	310	3936
73	313	3921
74	317	3912
75	320	3900
76	324	3885
77	327	3871
78	331	3859
79	335	3860
80	339	3847
81	342	3834
82	345	3822
83	350	3818
84	353	3807
85	357	3796
86	360	3785
87	365	3787
88	369	3784
89	373	3779
90	377	3772
91	381	3768
92	385	3758
93	388	3748
94	392	3738
95	396	3729
96	399	3722
97	403	3717
98	407	3709
99	410	3698
100	414	3693
101	418	3682
102	421	3674
103	425	3667
104	431	3678
105	435	3671
106	439	3666
107	443	3661
108	447	3657
109	451	3649
110	454	3643
111	458	3636
112	463	3635
113	466	3628
114	470	3620
115	474	3612
116	478	3610
117	482	3604
118	485	3596
119	489	3589
120	493	3587
121	497	3581
122	501	3574
123	504	3567
124	509	3565
125	513	3559
126	517	3554
127	521	3549
128	525	3550
129	530	3551
130	534	3545
131	538	3540
132	542	3537
133	546	3532
134	550	3527
135	554	3521
136	558	3517
137	562	3511
138	565	3505
139	569	3499
140	574	3497
141	578	3492
142	581	3486
143	583	3466
144	587	3466
145	591	3461
146	595	3455
147	599	3449
148	604	3450
149	608	3445
150	611	3440
151	615	3434
152	620	3433
153	624	3428
154	627	3422
155	631	3418
156	636	3416
157	640	3411
158	643	3405
159	647	3401
160	652	3401
161	656	3395
162	660	3392
163	664	3387
164	669	3385
165	672	3380
166	676	3375
167	680	3370
168	684	3368
169	688	3362
170	692	3357
171	697	3355
172	701	3351
173	705	3346
174	708	3340
175	712	3337
176	717	3334
177	721	3331
178	725	3328
179	730	3328
180	734	3323
181	735	3307
182	739	3301
183	744	3301
184	749	3299
185	752	3295
186	756	3289
187	760	3286
188	764	3281
189	768	3276
190	772	3270
191	776	3266
192	780	3262
193	784	3257
194	787	3252
195	792	3251
196	797	3250
197	801	3245
198	805	3240
199	810	3240
200	814	3236
201	817	3231
202	821	3226
203	826	3224
204	830	3219
205	834	3214
206	837	3209
207	842	3207
208	846	3202
209	850	3197
210	853	3193
211	858	3191
212	862	3186
213	868	3189
214	874	3194
215	879	3191
216	884	3189
217	889	3190
218	893	3186
219	897	3182
220	901	3177
221	905	3174
222	909	3170
223	914	3166
